fold,classifier_name,accuracy
0,kNN,0.9055944055944056
1,kNN,0.9055944055944056
2,kNN,0.9125874125874126
3,kNN,0.9055944055944056
4,kNN,0.9213286713286714
5,kNN,0.9073426573426573
6,kNN,0.916083916083916
7,kNN,0.9300699300699301
8,kNN,0.9230769230769231
9,kNN,0.8898601398601399
0,SVM,0.8723776223776224
1,SVM,0.8741258741258742
2,SVM,0.8933566433566433
3,SVM,0.8811188811188811
4,SVM,0.9073426573426573
5,SVM,0.9038461538461539
6,SVM,0.8968531468531469
7,SVM,0.9003496503496503
8,SVM,0.8898601398601399
9,SVM,0.8811188811188811
0,NB,0.6783216783216783
1,NB,0.6346153846153846
2,NB,0.6853146853146853
3,NB,0.6573426573426573
4,NB,0.6083916083916084
5,NB,0.5734265734265734
6,NB,0.6573426573426573
7,NB,0.6573426573426573
8,NB,0.6503496503496503
9,NB,0.6346153846153846
